application_id,cid,loan_product_id,loan_amount,interest_rate,loan_term_months,credit_score,annual_income,debt_to_income_ratio,application_date,status
23545,1418,20,41944,7.66,56,681,30572,0.43,2023-12-16,approved
23546,1076,6,25518,12.39,19,643,48818,0.12,2025-02-06,rejected
23547,3710,7,117269,8.4,66,693,25987,0.59,2023-05-31,rejected
23548,5098,14,24814,7.88,34,610,60204,0.27,2022-04-28,rejected
23549,9446,5,97787,8.21,71,654,45299,0.12,2023-06-30,rejected
23550,6445,19,4051,8.0,17,694,21068,0.29,2022-04-21,approved
23551,9256,20,13013,8.26,27,689,63590,0.47,2024-03-03,rejected
23552,4740,14,9209,9.71,15,679,57925,0.24,2022-11-04,approved
23553,964,14,24970,6.82,32,696,53135,0.44,2024-04-28,approved
23554,9810,5,127828,10.71,58,714,24488,0.16,2022-04-26,approved
23555,8120,19,2235,7.88,15,634,58987,0.59,2024-01-24,approved
23556,9450,7,111045,7.15,105,631,63761,0.44,2024-10-20,approved
23557,5623,9,218638,3.51,280,757,50825,0.57,2024-08-18,approved
23558,6887,15,241713,4.33,222,684,93450,0.37,2024-09-09,rejected
23559,9373,7,81740,6.1,105,579,48385,0.42,2022-08-23,rejected
23560,1580,8,12318,5.14,215,589,71753,0.37,2024-06-30,approved
23561,1241,5,60372,10.57,51,641,79262,0.59,2023-05-03,approved
23562,9869,6,75788,11.41,75,715,43243,0.4,2024-10-20,approved
23563,8532,20,48103,12.29,56,748,46858,0.16,2024-12-21,rejected
23564,1245,5,10536,8.73,102,689,80714,0.28,2023-12-07,approved
23565,937,11,8579,14.38,14,646,50423,0.46,2023-03-20,rejected
23566,6970,6,60840,8.96,77,721,24853,0.57,2023-08-04,rejected
23567,8205,1,18619,8.5,12,718,42990,0.22,2022-07-09,approved
23568,8694,6,52358,7.54,52,603,33872,0.58,2025-02-09,approved
23569,2048,10,2315,12.29,31,653,72012,0.26,2024-12-22,rejected
23570,9381,12,16938,6.69,27,592,31215,0.54,2023-07-03,rejected
23571,3397,5,47578,11.99,98,735,75845,0.6,2022-03-29,rejected
23572,3911,20,7687,6.21,15,693,51583,0.14,2025-01-12,rejected
23573,8445,16,382053,6.89,105,627,79307,0.26,2023-10-27,approved
23574,5317,6,81628,12.59,18,758,53692,0.23,2023-03-27,approved
23575,1235,7,48282,4.72,115,654,64232,0.27,2022-05-08,approved
23576,8302,12,22339,9.73,26,717,69447,0.25,2024-09-15,approved
23577,9169,14,20708,5.79,26,627,11509,0.3,2025-03-02,rejected
23578,1509,7,115584,4.99,100,699,43835,0.35,2023-06-05,rejected
23579,6144,3,128680,2.7,255,686,56403,0.1,2025-01-23,approved
23580,4050,19,8408,6.98,14,635,73596,0.32,2024-09-04,rejected
23581,2532,17,89786,7.23,23,644,77647,0.4,2022-11-26,rejected
23582,3657,6,124118,13.16,67,655,60525,0.15,2024-07-25,approved
23583,1872,6,13729,9.49,47,687,58771,0.27,2024-07-10,approved
23584,4158,13,3137,7.56,14,650,56057,0.4,2022-06-05,rejected
23585,992,17,122327,9.36,28,713,84793,0.55,2024-04-25,approved
23586,6486,15,287337,4.11,75,644,63160,0.12,2023-04-22,rejected
23587,3027,10,1486,15.02,18,668,85037,0.14,2023-07-28,approved
23588,365,4,22149,7.51,27,749,37838,0.23,2023-06-09,approved
23589,5131,5,68712,8.88,44,720,91918,0.25,2023-03-14,approved
23590,4277,18,48257,5.14,54,609,55130,0.24,2022-10-27,approved
23591,2001,20,37419,13.34,54,638,81102,0.45,2023-02-28,approved
23592,6978,18,10435,4.15,46,692,65152,0.38,2024-03-17,rejected
23593,1706,19,10719,6.23,23,679,62522,0.58,2023-03-12,approved
23594,688,7,282537,4.71,25,723,71557,0.27,2023-07-08,rejected
23595,4808,10,1511,17.6,20,644,44527,0.33,2023-01-22,rejected
23596,5112,20,20601,11.55,51,720,18750,0.34,2024-05-19,rejected
23597,7885,1,21319,6.81,15,573,4056,0.12,2023-03-09,rejected
23598,386,13,3973,8.47,10,660,15106,0.11,2022-06-22,approved
23599,8927,16,445103,6.47,52,648,60279,0.29,2023-11-07,approved
23600,6447,11,11547,10.25,28,639,28980,0.21,2024-05-16,approved
23601,6904,18,24214,5.17,52,746,32488,0.42,2024-12-24,rejected
23602,302,10,2489,9.12,32,672,34814,0.52,2022-09-26,rejected
23603,3834,13,5918,10.37,19,586,70482,0.59,2022-09-28,approved
23604,5391,10,4494,15.43,15,571,21608,0.41,2022-05-06,rejected
23605,4682,13,6591,9.06,17,591,43312,0.33,2023-10-20,rejected
23606,2712,8,17596,3.72,91,665,67381,0.43,2023-05-31,approved
23607,2833,5,146776,10.26,51,719,32579,0.15,2024-06-12,rejected
23608,238,3,301269,4.15,333,623,32068,0.3,2024-11-23,rejected
23609,135,5,30229,11.04,13,643,27238,0.28,2024-12-04,rejected
23610,637,2,23733,6.75,40,742,65556,0.4,2022-10-05,rejected
23611,9712,18,23091,5.58,50,733,68486,0.22,2023-10-27,approved
23612,2536,18,27851,3.29,54,725,78552,0.23,2024-03-24,approved
23613,2143,5,53047,5.2,63,603,64597,0.41,2024-03-03,approved
23614,6323,13,8769,14.27,6,776,74041,0.18,2022-08-10,approved
23615,8747,15,53283,4.08,62,685,97530,0.16,2025-03-13,approved
23616,2280,1,8214,6.51,53,620,60146,0.29,2024-05-20,approved
23617,4463,3,225399,3.34,147,654,51291,0.26,2022-05-16,approved
23618,2332,4,36723,7.2,63,668,57503,0.25,2022-08-16,approved
23619,6307,16,192123,6.48,45,619,29761,0.49,2023-08-03,rejected
23620,3658,6,20432,13.77,54,636,26359,0.17,2022-06-24,rejected
23621,2506,19,1733,11.25,12,711,27865,0.24,2022-08-15,approved
23622,9098,15,131724,3.85,202,663,50075,0.32,2024-02-04,rejected
23623,6653,12,30722,8.96,20,688,33872,0.56,2023-10-31,approved
23624,8087,5,177247,7.53,59,629,37000,0.37,2024-02-17,approved
23625,8370,12,25916,5.45,37,750,14081,0.28,2024-01-06,rejected
23626,9444,13,5718,8.35,18,760,69956,0.44,2025-01-26,approved
23627,5782,15,101146,4.66,85,770,50935,0.47,2025-01-14,approved
23628,4143,12,26894,6.72,21,740,66505,0.31,2022-07-25,approved
23629,4331,2,18392,4.8,24,674,37749,0.12,2023-02-20,rejected
23630,4999,10,2117,12.28,30,712,51808,0.48,2024-03-09,approved
23631,6458,5,56996,5.85,81,652,76109,0.38,2024-09-18,rejected
23632,8348,14,29206,6.29,31,734,61268,0.4,2022-09-29,rejected
23633,1032,8,14242,6.79,214,710,18206,0.37,2022-04-22,rejected
23634,1970,17,54826,9.28,17,744,67836,0.13,2024-09-03,approved
23635,9057,15,323477,3.49,185,729,56598,0.28,2022-08-27,approved
23636,2883,18,17377,4.24,22,708,31979,0.1,2023-06-12,approved
23637,1783,19,1584,9.96,15,640,68548,0.49,2023-04-08,rejected
23638,6575,2,20629,5.95,78,623,42223,0.42,2024-09-05,rejected
23639,1181,17,54441,5.86,46,744,62628,0.57,2024-03-14,approved
23640,8246,19,2195,10.56,20,673,29937,0.56,2022-07-03,approved
23641,6945,13,5922,15.95,21,615,31766,0.56,2022-10-27,rejected
23642,7398,10,1057,9.5,13,634,30006,0.28,2023-02-27,approved
23643,4779,12,36219,9.97,27,713,99429,0.33,2022-08-14,approved
23644,889,16,181610,6.25,99,668,68083,0.39,2024-04-03,rejected
23645,1998,7,64621,6.22,92,641,55291,0.25,2024-05-11,approved
23646,9640,2,41868,5.88,40,569,73373,0.38,2022-03-28,approved
23647,2299,8,32539,3.66,86,785,37333,0.41,2024-03-13,approved
23648,1388,14,17376,8.89,23,708,35304,0.22,2024-10-04,rejected
23649,5054,1,26055,14.15,50,659,21908,0.59,2024-10-25,rejected
23650,3909,8,25636,5.48,168,655,59098,0.23,2024-10-05,rejected
23651,7379,11,42194,6.1,45,653,59297,0.57,2022-06-12,rejected
23652,1068,12,7296,7.58,20,693,36193,0.52,2023-04-14,approved
23653,9638,10,1306,8.6,30,723,38571,0.57,2025-01-11,rejected
23654,8931,19,11210,11.18,8,639,26088,0.4,2023-08-25,rejected
23655,6533,10,3865,15.44,20,627,65957,0.29,2024-07-14,rejected
23656,6396,10,2783,15.57,15,740,65999,0.48,2024-09-29,approved
23657,9354,19,4254,10.4,9,647,45972,0.16,2023-07-01,approved
23658,6948,6,126308,13.81,61,699,60212,0.56,2022-08-04,rejected
23659,7321,18,39518,3.45,49,701,31247,0.51,2022-12-04,rejected
23660,6390,20,20297,7.15,36,669,29028,0.56,2023-02-23,approved
23661,6741,16,461065,7.23,103,684,62538,0.28,2023-01-11,approved
23662,9567,19,5874,6.98,15,718,31027,0.4,2024-08-17,rejected
23663,2072,13,8223,11.43,17,725,41524,0.3,2024-12-07,approved
23664,3118,12,12510,6.1,45,668,66873,0.17,2022-10-05,rejected
23665,5721,6,89851,13.05,41,738,32975,0.34,2024-08-12,approved
23666,7748,16,277753,6.4,77,640,46798,0.53,2024-03-05,approved
23667,8782,17,156938,7.04,43,605,40264,0.34,2024-02-13,rejected
23668,5630,12,27659,9.2,45,726,79194,0.28,2023-12-20,approved
23669,8574,2,41619,3.53,30,654,28094,0.42,2022-08-18,approved
23670,9254,2,33731,7.08,81,663,54777,0.18,2024-01-30,approved
23671,1358,15,103585,4.51,288,716,43642,0.2,2023-07-08,rejected
23672,1283,20,22061,13.03,26,660,58211,0.17,2024-08-22,rejected
23673,2171,15,307907,4.55,351,652,39749,0.48,2023-03-13,approved
23674,3307,11,38531,6.73,40,669,45189,0.38,2023-05-01,approved
23675,5893,3,256272,3.86,219,650,46021,0.47,2024-11-22,rejected
23676,7292,14,7211,7.9,32,620,24291,0.58,2025-03-20,rejected
23677,6463,1,13169,12.15,49,712,98274,0.24,2024-03-03,rejected
23678,119,7,46862,7.29,59,733,36264,0.18,2023-03-03,approved
23679,9365,1,11489,6.14,41,754,48895,0.15,2024-02-12,approved
23680,9757,2,33655,3.27,43,648,54173,0.28,2025-02-02,rejected
23681,8917,17,160556,5.17,18,664,49173,0.17,2024-10-06,approved
23682,9194,20,27686,14.82,49,644,67174,0.44,2024-04-10,rejected
23683,5128,2,13064,5.78,58,565,33454,0.39,2023-09-25,approved
23684,7845,17,61996,9.1,16,657,25462,0.46,2022-06-08,rejected
23685,8754,8,47583,5.17,134,620,6900,0.41,2022-09-16,rejected
23686,1422,7,38908,6.46,92,680,63797,0.52,2023-08-20,rejected
23687,3744,6,139723,6.11,15,702,52576,0.31,2024-12-27,rejected
23688,4790,20,26062,10.46,29,607,70560,0.18,2022-04-13,approved
23689,654,13,6578,11.3,22,656,58194,0.23,2023-10-30,approved
23690,3302,7,182627,6.32,61,671,61820,0.31,2022-10-10,approved
23691,5136,14,29567,10.12,30,682,38981,0.31,2023-12-20,approved
23692,9550,14,13017,8.35,34,713,83499,0.49,2024-12-25,approved
23693,4557,16,493724,7.49,58,753,31879,0.48,2025-01-29,approved
23694,2355,17,123559,6.08,35,669,69761,0.44,2024-01-17,approved
23695,9794,16,166333,6.04,30,753,19034,0.59,2023-01-27,approved
23696,172,4,31510,4.41,30,641,7327,0.28,2025-02-12,rejected
23697,4338,10,1106,12.6,14,610,66845,0.15,2024-03-08,approved
23698,2391,5,169919,9.52,110,723,35762,0.47,2023-12-23,approved
23699,5359,1,19981,5.42,43,754,46519,0.11,2022-06-15,approved
23700,6506,14,26991,5.09,12,694,56626,0.19,2024-02-21,rejected
23701,3753,8,39382,6.67,193,672,39851,0.4,2022-12-16,rejected
23702,6719,5,46795,8.0,114,723,83768,0.37,2024-09-10,rejected
23703,6726,11,31380,8.29,46,653,28009,0.55,2023-10-04,approved
23704,8124,3,313974,3.02,158,668,27941,0.59,2024-10-02,approved
23705,6468,12,18350,9.41,13,668,37526,0.46,2024-12-06,rejected
23706,8945,6,111274,13.71,79,648,65643,0.25,2023-08-05,rejected
23707,9543,4,5243,8.16,24,674,15155,0.3,2023-02-25,approved
23708,5883,4,17010,5.12,36,694,32714,0.11,2022-04-27,approved
23709,4634,18,13938,6.41,42,754,105795,0.58,2024-10-25,approved
23710,8032,16,329775,7.83,88,646,77367,0.27,2024-05-06,approved
23711,1695,8,28079,5.92,228,645,40002,0.55,2024-08-22,rejected
23712,2975,1,2251,13.5,56,615,60412,0.36,2024-03-16,approved
23713,3064,3,405628,3.32,327,620,42650,0.58,2023-01-02,rejected
23714,6382,5,181218,9.48,25,677,66820,0.54,2023-11-12,approved
23715,567,18,18607,3.27,27,718,79738,0.38,2022-05-25,approved
23716,2706,13,7067,14.71,16,689,74344,0.27,2023-08-26,approved
23717,726,19,1393,6.48,21,632,43442,0.5,2024-06-03,approved
23718,7462,9,201064,3.78,178,618,41258,0.3,2023-11-23,rejected
23719,8312,13,1219,8.95,20,714,51918,0.37,2022-04-14,approved
23720,5239,14,7554,9.36,30,741,78396,0.38,2024-02-28,rejected
23721,6523,1,5151,10.68,22,724,47375,0.22,2022-09-24,approved
23722,8920,4,17273,7.9,39,718,56867,0.52,2023-10-01,approved
23723,9598,9,781626,2.54,288,722,56925,0.28,2024-12-26,rejected
23724,4990,10,922,11.1,9,654,58274,0.26,2024-12-06,rejected
23725,5109,9,205621,4.58,288,751,72249,0.43,2022-06-02,approved
23726,1308,13,9198,12.74,8,681,58332,0.59,2025-02-16,approved
23727,1755,12,2556,4.26,22,692,33397,0.43,2023-12-24,approved
23728,9866,18,35889,5.02,50,742,58178,0.14,2023-06-17,rejected
23729,8497,15,425427,4.65,113,666,41099,0.57,2023-12-17,approved
23730,9243,11,45450,13.15,37,710,47921,0.28,2023-12-12,rejected
23731,1895,15,323231,4.63,337,638,60354,0.32,2022-06-08,approved
23732,4092,6,86518,7.99,14,658,43160,0.32,2023-01-09,approved
23733,9281,12,22966,4.29,37,778,66242,0.46,2023-09-24,approved
23734,3055,2,47694,6.05,44,785,54754,0.44,2023-11-02,approved
23735,5346,4,15312,6.79,105,706,72463,0.19,2023-08-27,approved
23736,547,17,50542,7.87,35,661,54188,0.21,2022-12-05,approved
23737,9520,5,127530,5.05,66,602,67654,0.34,2024-11-29,approved
23738,2587,20,37638,10.34,12,723,53980,0.11,2023-06-06,approved
23739,8087,8,21242,6.36,164,629,37000,0.37,2023-11-21,rejected
23740,786,10,4333,12.03,25,631,71183,0.16,2023-03-16,approved
23741,4503,5,81327,8.57,12,631,33491,0.45,2023-10-17,approved
23742,6376,11,49671,8.66,58,754,44728,0.53,2023-04-10,approved
23743,8002,1,20039,8.46,15,660,55558,0.39,2023-07-08,approved
23744,2735,3,469206,3.49,129,719,46157,0.42,2024-01-09,approved
23745,2852,20,37778,13.9,43,577,23656,0.32,2023-12-05,rejected
23746,9500,4,23587,4.28,100,699,27171,0.3,2024-03-29,rejected
23747,2296,8,14947,4.35,168,652,39465,0.54,2024-02-24,approved
23748,9286,1,19740,8.1,59,671,84247,0.58,2023-09-07,approved
23749,424,6,147934,8.44,28,660,70430,0.45,2025-03-17,rejected
23750,5985,13,2415,12.49,7,658,68368,0.56,2022-08-07,rejected
23751,8416,15,268004,3.3,63,597,46205,0.33,2023-09-17,rejected
23752,272,7,228522,6.53,86,753,37214,0.59,2022-12-05,approved
23753,1700,16,147959,8.91,56,676,42936,0.35,2024-09-02,approved
23754,5210,10,1648,10.32,30,650,39407,0.15,2023-07-29,rejected
23755,14,19,12540,10.1,8,577,70125,0.52,2024-06-13,approved
23756,7851,14,15328,8.51,28,567,86387,0.3,2024-12-28,rejected
23757,6680,8,45599,6.18,222,682,32164,0.49,2024-08-07,rejected
23758,7690,12,39235,6.95,42,688,26957,0.1,2022-09-27,rejected
23759,3136,15,145942,3.87,175,659,51045,0.32,2022-05-03,rejected
23760,3738,15,156476,2.07,284,689,71403,0.43,2024-08-12,rejected
23761,2030,8,29037,7.6,124,631,66443,0.42,2022-11-12,rejected
23762,1771,17,81910,8.86,32,731,20811,0.3,2024-05-02,approved
23763,9192,4,10482,8.0,108,733,75549,0.1,2024-06-23,approved
23764,6778,19,11099,14.9,14,677,45577,0.37,2024-10-16,rejected
23765,7939,2,38786,3.06,65,668,59571,0.56,2024-07-05,approved
23766,4737,9,499368,2.63,256,591,69376,0.44,2022-08-09,rejected
23767,6257,12,36847,5.6,27,641,38838,0.46,2023-05-29,rejected
23768,4739,7,96939,4.93,51,712,77813,0.43,2022-11-16,approved
23769,6629,17,10779,5.72,49,581,81383,0.36,2023-10-21,rejected
23770,940,4,10596,5.09,72,707,58746,0.57,2022-09-13,approved
23771,9770,11,40909,10.54,46,768,53915,0.58,2023-12-14,approved
23772,1322,16,175102,6.16,92,626,84052,0.27,2022-09-07,approved
23773,4752,5,22745,10.03,39,685,32863,0.11,2024-02-12,approved
23774,9946,11,7000,13.42,58,711,66001,0.27,2023-11-15,rejected
23775,2735,12,3371,6.4,37,719,46157,0.56,2024-06-16,rejected
23776,8839,9,862384,3.25,252,705,77068,0.18,2022-12-16,approved
23777,9305,4,18399,8.92,119,755,46226,0.53,2023-01-23,approved
23778,5803,17,58301,7.4,46,788,72316,0.33,2023-04-21,approved
23779,4785,12,7788,7.88,13,668,63075,0.14,2023-02-04,approved
23780,517,9,515019,3.97,287,599,65248,0.52,2023-03-04,approved
23781,4382,10,2043,14.66,9,769,92842,0.21,2024-07-01,approved
23782,5276,20,33084,6.84,19,654,54211,0.12,2023-03-26,approved
23783,3685,19,12798,9.05,14,631,44513,0.48,2022-05-18,rejected
23784,4470,12,21496,4.26,13,640,34709,0.24,2022-09-21,approved
23785,8995,1,17121,9.62,37,681,63566,0.2,2024-04-30,rejected
23786,2573,18,16106,5.73,59,650,61589,0.15,2023-06-11,approved
23787,3286,5,131903,10.91,65,632,41281,0.12,2024-08-27,rejected
23788,7953,15,302471,3.92,248,746,72726,0.19,2024-02-11,approved
23789,8677,6,20863,7.07,73,641,69338,0.56,2025-02-18,approved
23790,5379,19,11765,10.8,20,666,54334,0.44,2022-08-28,approved
23791,9066,7,241927,8.42,52,636,35730,0.16,2024-06-04,approved
23792,9038,13,3128,13.45,21,685,27928,0.4,2022-06-25,rejected
23793,3309,17,139710,9.82,53,677,53677,0.22,2024-05-14,rejected
23794,6636,9,685787,3.41,134,689,17283,0.15,2022-12-26,approved
23795,9123,1,8348,10.66,37,706,25743,0.38,2024-08-21,rejected
23796,6826,7,195724,7.85,43,693,34616,0.49,2023-12-31,approved
23797,9556,1,28782,8.03,40,632,41111,0.27,2023-04-24,approved
23798,689,2,37692,5.23,54,679,71401,0.53,2023-12-26,rejected
23799,136,8,47865,6.45,144,679,44499,0.15,2023-02-24,rejected
23800,9218,17,36242,9.24,40,634,57333,0.41,2023-06-13,rejected
23801,2723,13,8335,8.48,20,647,68200,0.48,2023-10-18,approved
23802,4947,7,197430,8.47,73,625,82935,0.48,2022-10-23,rejected
23803,5267,12,24152,5.86,32,647,50174,0.33,2024-10-11,rejected
23804,3700,14,9837,11.17,33,639,24207,0.16,2023-04-04,rejected
23805,5109,17,113646,6.29,54,751,72249,0.1,2024-01-17,approved
23806,5848,4,8931,5.43,46,736,66616,0.36,2024-11-09,approved
23807,5734,7,116844,8.89,67,611,59385,0.33,2022-09-06,rejected
23808,9644,5,51577,10.12,116,734,43795,0.17,2022-07-24,rejected
23809,5878,4,32928,4.4,52,702,82823,0.25,2024-11-27,approved
23810,9217,20,9687,9.52,45,688,48079,0.12,2023-02-12,approved
23811,4619,5,84885,9.58,91,735,16941,0.17,2023-07-16,rejected
23812,9443,6,63683,10.99,64,716,43372,0.38,2023-10-16,rejected
23813,7059,18,19528,5.94,46,708,37921,0.49,2024-02-27,rejected
23814,4450,18,40471,6.45,44,687,78236,0.52,2022-07-22,approved
23815,5467,2,48879,4.28,73,691,39148,0.29,2023-11-20,approved
23816,9059,14,12694,7.57,33,703,74607,0.15,2023-05-28,rejected
23817,10,9,508864,3.59,336,768,71573,0.23,2022-05-11,approved
23818,4227,1,4241,11.5,15,718,35080,0.27,2023-09-13,rejected
23819,3694,15,258514,3.16,278,636,48737,0.56,2023-12-15,rejected
23820,1979,9,379088,4.34,128,635,56105,0.58,2024-11-04,rejected
23821,5288,14,19108,9.02,34,640,40915,0.19,2024-11-30,rejected
23822,6155,7,83965,8.17,64,653,69426,0.48,2024-04-28,rejected
23823,117,14,11340,7.43,35,720,32037,0.44,2022-10-27,rejected
23824,5603,4,23042,7.46,70,702,39480,0.13,2023-04-11,approved
23825,4860,17,59153,8.39,46,726,31681,0.45,2023-02-14,rejected
23826,3257,17,187064,7.2,22,693,49838,0.49,2022-07-30,rejected
23827,8291,20,48872,11.4,43,723,40868,0.32,2022-10-16,rejected
23828,3714,13,7192,11.83,11,622,56154,0.43,2022-04-29,rejected
23829,4994,3,354872,3.18,311,687,71400,0.38,2022-11-07,approved
23830,2590,1,21056,13.53,29,763,77747,0.49,2024-12-30,approved
23831,9467,3,279877,4.73,128,640,83260,0.14,2023-10-03,rejected
23832,414,19,10078,12.72,7,779,69806,0.52,2023-12-13,approved
23833,6531,15,74471,3.42,295,779,75893,0.14,2024-09-18,approved
23834,9489,20,43729,7.19,53,658,72335,0.43,2022-05-05,approved
23835,3533,7,265686,8.37,109,696,52861,0.16,2022-04-21,rejected
23836,9625,19,1633,14.62,16,650,58772,0.23,2022-08-15,rejected
23837,4831,11,11288,12.81,14,639,47993,0.18,2023-01-05,approved
23838,7986,15,40149,3.34,331,740,55752,0.38,2023-01-13,rejected
23839,8364,7,245881,7.04,78,672,57302,0.49,2022-07-19,rejected
23840,7709,17,22489,6.69,41,642,70444,0.24,2023-08-21,approved
23841,8703,4,26777,8.85,116,808,73910,0.24,2024-11-10,approved
23842,3918,2,18509,4.48,81,592,49467,0.57,2022-10-01,rejected
23843,1594,14,4733,11.28,24,735,13800,0.32,2023-04-20,approved
23844,356,17,51514,5.43,50,598,56849,0.45,2023-12-05,approved
23845,9971,6,17397,9.5,55,627,62718,0.5,2024-02-28,approved
23846,1515,17,42892,8.56,58,606,15531,0.47,2022-12-07,rejected
23847,2394,10,2770,11.26,23,813,64331,0.54,2023-12-02,rejected
23848,3320,4,5151,4.12,81,706,57746,0.5,2024-05-05,rejected
23849,9109,16,483705,5.87,45,789,41412,0.3,2023-10-24,approved
23850,8800,9,709217,4.94,281,697,57521,0.19,2023-04-04,approved
23851,3134,17,114422,8.79,37,611,59228,0.57,2024-11-25,approved
23852,1382,15,274360,4.08,301,674,85564,0.35,2023-07-08,rejected
23853,1362,8,16164,6.97,190,735,56932,0.13,2022-12-25,approved
23854,8813,18,24401,6.31,20,679,95730,0.52,2024-03-01,approved
23855,5188,1,8727,12.42,26,739,42409,0.46,2022-09-30,approved
23856,7844,20,22206,6.43,30,606,65963,0.56,2023-01-20,rejected
23857,9595,15,333317,4.18,162,689,24719,0.29,2024-01-24,rejected
23858,2667,18,17417,5.92,48,646,58749,0.31,2023-10-15,rejected
23859,4018,20,38181,8.22,48,788,17760,0.53,2023-01-28,approved
23860,6682,6,119794,8.88,21,641,2546,0.41,2024-03-31,rejected
23861,7152,6,114523,7.82,23,663,57145,0.23,2024-05-15,approved
23862,402,4,35937,5.73,49,603,42710,0.48,2023-05-09,rejected
23863,6536,12,7788,6.64,24,779,33510,0.11,2025-03-13,approved
23864,4079,4,17557,4.71,42,641,51028,0.47,2023-06-11,approved
23865,6919,3,409317,3.37,293,619,70461,0.53,2024-04-28,rejected
23866,1767,12,11457,9.77,12,681,34388,0.43,2023-02-08,rejected
23867,2097,5,124814,11.18,79,638,77998,0.24,2024-02-19,approved
23868,9161,7,53377,5.92,80,650,74294,0.5,2025-03-24,rejected
23869,540,12,26745,8.9,37,689,31954,0.29,2023-09-24,rejected
23870,3031,17,199027,6.73,24,767,11475,0.4,2022-12-09,approved
23871,3797,15,246459,3.33,238,683,46906,0.25,2024-08-20,approved
23872,9672,12,18334,4.98,40,631,71819,0.52,2022-07-28,approved
23873,3105,14,8141,7.32,24,658,56667,0.36,2024-11-08,approved
23874,9321,2,48451,6.55,80,627,50761,0.24,2024-10-25,rejected
23875,8259,14,27268,11.34,31,765,61821,0.47,2025-03-16,approved
23876,8612,11,11380,7.44,57,676,55749,0.41,2024-07-18,rejected
23877,2022,7,194897,5.4,33,716,11470,0.34,2024-12-16,rejected
23878,5848,19,6934,12.33,17,736,66616,0.27,2023-08-21,approved
23879,7207,20,21751,5.64,16,596,83202,0.39,2022-03-31,approved
23880,6810,8,12151,3.67,214,696,11119,0.11,2024-01-15,rejected
23881,3783,15,88523,2.45,319,710,56517,0.18,2023-07-09,rejected
23882,5507,12,18691,7.13,46,627,63711,0.46,2023-11-05,approved
23883,5466,10,3407,8.46,8,594,48460,0.12,2025-01-01,rejected
23884,2341,4,6804,8.84,38,721,35886,0.39,2023-07-04,approved
23885,8931,1,17277,11.39,48,639,26088,0.37,2024-05-16,rejected
23886,9539,5,68082,8.48,19,700,40661,0.52,2024-04-03,approved
23887,7218,16,112857,5.04,113,581,84875,0.26,2023-11-02,rejected
23888,791,8,10404,6.98,185,619,77586,0.16,2022-07-30,rejected
23889,7863,19,13126,9.59,9,640,34774,0.34,2023-11-13,rejected
23890,3555,3,129772,4.25,327,641,55151,0.4,2023-06-05,approved
23891,9104,7,234298,6.23,106,731,42539,0.54,2023-05-06,approved
23892,8803,5,151967,9.98,63,695,73849,0.38,2023-12-29,approved
23893,556,11,10357,14.86,29,645,63612,0.6,2024-08-26,approved
23894,4076,19,8698,6.56,11,669,33396,0.4,2024-01-09,approved
23895,359,5,80657,5.84,24,670,58640,0.36,2023-03-10,approved
23896,2840,2,12607,6.25,47,683,44945,0.46,2024-04-26,rejected
23897,4165,13,2331,6.9,16,727,84966,0.49,2022-10-13,approved
23898,8086,8,42505,5.29,154,611,10925,0.48,2023-12-22,approved
23899,7672,14,26492,9.44,17,657,39890,0.48,2024-08-07,rejected
23900,2945,18,15162,6.77,39,617,49464,0.19,2023-11-08,rejected
23901,3145,11,28766,6.11,22,627,70006,0.35,2023-09-12,approved
23902,3417,20,30967,6.28,22,762,40000,0.23,2023-03-09,rejected
23903,8341,17,135250,9.63,41,675,56350,0.51,2023-04-02,approved
23904,9833,4,24966,7.31,106,678,40515,0.28,2022-12-03,approved
23905,857,9,978231,3.3,336,670,28968,0.29,2025-03-12,rejected
23906,8008,11,46408,6.19,29,628,63292,0.13,2023-03-10,rejected
23907,770,18,38580,4.44,54,575,54940,0.52,2024-05-14,rejected
23908,7708,3,202449,4.94,335,727,53782,0.41,2025-03-25,approved
23909,1135,14,10292,6.15,28,565,68341,0.29,2024-01-01,rejected
23910,4127,10,1966,8.23,11,691,56909,0.43,2024-09-29,approved
23911,1014,11,8735,8.38,25,745,75128,0.32,2022-08-05,approved
23912,8591,5,132142,11.85,106,768,53363,0.38,2023-01-09,rejected
23913,4932,19,2226,12.81,15,726,88871,0.37,2023-11-11,approved
23914,6071,2,31976,6.13,71,728,29459,0.4,2023-08-27,rejected
23915,7114,17,143263,8.26,16,730,42060,0.24,2023-12-05,rejected
23916,635,7,281710,7.12,50,700,77652,0.41,2022-06-21,rejected
23917,8208,13,2847,15.27,13,667,53589,0.44,2023-09-24,approved
23918,6047,12,11168,7.23,34,542,54965,0.19,2023-11-07,rejected
23919,7033,8,32230,5.43,68,769,54484,0.54,2022-12-01,approved
23920,5938,15,33419,2.93,101,728,33383,0.22,2024-05-16,rejected
23921,6109,12,22173,5.03,43,698,61141,0.25,2024-05-16,rejected
23922,9842,1,7256,14.55,30,637,65561,0.12,2023-10-13,rejected
23923,5585,3,102283,4.84,158,687,30726,0.17,2024-09-11,rejected
23924,4349,17,54450,7.57,24,741,42491,0.21,2024-10-10,approved
23925,7226,11,45449,13.87,37,697,16926,0.36,2025-03-14,rejected
23926,556,18,49057,4.35,32,645,63612,0.57,2023-07-26,approved
23927,4091,16,381416,7.42,106,684,50521,0.46,2022-05-29,rejected
