tid,cid,pid,amount,purchase_date,payment_mode
19479,107,29,3379.06,2025-03-03 03:54:15.420253,Credit
19480,2820,28,298.87,2025-01-19 00:54:35.230864,Debit
19481,1459,5,134.82,2025-03-13 10:05:41.664270,Debit
19482,4152,9,3108.92,2025-01-30 05:24:53.746753,Credit
19483,5474,22,5.82,2025-02-24 10:41:21.993866,Credit
19484,9716,21,220.24,2025-01-09 23:31:11.540346,Wire Transfer
19485,1492,18,676.89,2025-03-02 14:53:48.479322,Net Banking
19486,33,24,248.72,2025-02-25 08:07:45.041117,Net Banking
19487,869,2,750.0600000000001,2025-03-20 00:07:48.665069,Net Banking
19488,2666,20,257.07,2025-03-14 22:59:57.905491,Credit
19489,622,17,83.52,2025-01-05 20:33:21.572677,Wire Transfer
19490,7460,22,23.46,2025-01-15 18:55:37.620011,Credit
19491,5655,9,3773.49,2025-02-20 00:31:34.865114,Credit
19492,7739,13,1480.3799999999999,2025-01-04 07:08:21.611550,Net Banking
19493,1993,19,3055.7,2025-01-07 03:36:41.709651,Net Banking
19494,177,20,575.3,2025-02-12 20:59:12.908993,Credit
19495,1739,24,115.22,2025-01-28 12:28:25.264651,Debit
19496,604,14,112.27,2025-02-13 00:34:29.861627,Wire Transfer
19497,7681,23,22135.8,2025-03-15 11:21:40.332888,Credit
19498,9471,1,1862.2,2025-01-21 16:42:59.463270,Net Banking
19499,3136,16,294.2,2025-02-11 04:04:33.111002,Credit
19500,8712,27,61.94,2025-02-12 16:01:55.142694,Wire Transfer
19501,7828,15,213.36,2025-02-24 21:18:50.623513,Net Banking
19502,5940,19,1537.91,2025-03-17 01:46:01.657524,Net Banking
19503,3532,8,961.2,2025-01-11 13:08:39.363354,Net Banking
19504,6732,3,22281.28,2025-03-04 18:35:09.884146,Wire Transfer
19505,3167,11,832.14,2025-01-07 21:14:44.330163,Wire Transfer
19506,1263,13,2322.92,2025-02-09 19:26:17.265098,Credit
19507,7817,15,60.18,2025-03-03 05:00:34.949246,Net Banking
19508,8418,23,3862.45,2025-01-21 22:27:36.525673,Net Banking
19509,2666,27,75.15,2025-01-29 11:21:55.535229,Debit
19510,2203,19,1699.2,2025-02-22 13:24:13.472229,Wire Transfer
19511,2557,13,1407.96,2025-02-09 11:10:29.927727,Credit
19512,7596,1,1678.44,2025-03-21 19:51:31.262771,Credit
19513,5406,4,1117.5,2025-03-22 12:02:59.262062,Wire Transfer
19514,2280,30,51.77,2025-03-14 22:56:54.479699,Wire Transfer
19515,3611,14,254.96,2025-02-07 18:49:52.076178,Wire Transfer
19516,7104,17,47.22,2025-01-05 08:19:30.583370,Debit
19517,7267,5,74.52,2025-02-20 13:00:49.432302,Wire Transfer
19518,1576,27,122.08,2025-02-07 06:49:57.703465,Credit
19519,6361,8,522.39,2025-01-06 06:30:36.964065,Credit
19520,5555,13,2621.4,2025-01-10 07:03:14.174196,Debit
19521,290,29,3401.76,2025-01-06 22:18:41.190465,Debit
19522,3299,21,233.46,2025-03-20 18:39:29.482122,Debit
19523,6696,7,45.68,2025-01-14 09:45:53.107405,Net Banking
19524,7316,30,260.36,2025-02-07 09:51:24.196179,Debit
19525,6183,30,50.04,2025-01-07 12:45:59.351213,Credit
19526,7390,4,362.66,2025-03-02 05:54:13.056899,Net Banking
19527,3822,24,162.92,2025-02-23 05:47:14.580620,Credit
19528,3300,5,372.72,2025-01-11 19:03:42.436743,Debit
19529,5752,6,173.94,2025-01-24 19:13:05.289149,Debit
19530,4596,7,59.94,2025-03-07 03:39:56.260960,Credit
19531,1989,1,1965.92,2025-02-06 01:17:13.079049,Debit
19532,7282,28,1039.9499999999998,2025-02-16 11:47:53.358564,Net Banking
19533,4491,9,2399.3,2025-01-15 05:25:50.977693,Wire Transfer
19534,1316,8,651.9300000000001,2025-02-03 07:01:29.448121,Wire Transfer
19535,1674,25,53.95,2025-03-19 03:13:52.689245,Net Banking
19536,1262,28,264.26,2025-02-06 02:04:16.030463,Debit
19537,244,21,485.08,2025-02-19 22:30:45.543592,Wire Transfer
19538,2607,9,1364.47,2025-01-16 01:52:37.641241,Wire Transfer
19539,6605,26,1830.92,2025-03-18 15:57:12.416427,Credit
19540,1884,2,1237.16,2025-01-10 11:03:57.929328,Wire Transfer
19541,2347,30,136.72,2025-02-01 21:04:47.141965,Wire Transfer
19542,7875,30,71.56,2025-01-28 04:16:35.592592,Debit
19543,817,21,392.43,2025-03-12 14:54:45.301194,Debit
19544,9122,1,2626.36,2025-01-16 23:26:09.608782,Credit
19545,2288,1,1224.84,2025-03-11 22:18:26.631837,Net Banking
19546,7958,27,24.47,2025-02-22 06:39:45.205147,Debit
19547,866,2,237.49,2025-03-13 11:48:58.321392,Net Banking
19548,8142,20,241.32,2025-03-19 03:46:05.748353,Wire Transfer
19549,9499,9,3642.87,2025-03-13 19:34:09.822935,Net Banking
19550,4480,10,594.16,2025-01-05 12:07:45.803791,Debit
19551,1444,24,71.09,2025-01-25 13:55:44.956261,Net Banking
19552,9431,23,16416.88,2025-02-25 23:39:54.159504,Credit
19553,9458,14,119.67,2025-01-24 23:36:04.126120,Debit
19554,1341,17,32.26,2025-02-13 04:20:12.914351,Net Banking
19555,8257,9,2503.52,2025-03-10 10:24:00.769729,Debit
19556,5664,11,573.44,2025-02-23 09:59:35.863197,Net Banking
19557,8883,24,166.8,2025-02-16 09:05:35.702729,Debit
19558,7889,3,9432.98,2025-02-14 08:55:52.456676,Credit
19559,223,7,102.88,2025-01-29 15:23:34.913214,Credit
19560,8743,1,1154.28,2025-01-28 03:20:41.778614,Wire Transfer
19561,8929,3,10994.5,2025-01-17 22:25:15.624343,Wire Transfer
19562,3630,8,248.82,2025-02-19 08:39:06.632832,Net Banking
19563,6968,22,6.3,2025-02-09 07:17:24.748006,Credit
19564,4082,7,59.22,2025-02-09 19:44:16.808660,Credit
19565,201,10,289.08,2025-02-16 05:25:07.765546,Credit
19566,9344,5,265.04999999999995,2025-01-19 18:59:17.720264,Wire Transfer
19567,964,11,960.4499999999999,2025-01-26 08:41:03.531396,Wire Transfer
19568,8458,27,49.34,2025-03-07 06:51:25.696397,Wire Transfer
19569,6945,22,25.92,2025-03-13 03:08:01.398503,Credit
19570,2160,8,579.99,2025-03-11 13:42:24.695143,Debit
19571,2590,13,554.92,2025-02-17 01:57:08.900365,Credit
19572,3156,23,16368.39,2025-01-05 10:00:22.229317,Wire Transfer
19573,6167,23,11558.849999999999,2025-02-22 04:05:06.246603,Credit
19574,2551,13,923.98,2025-03-11 03:37:17.390081,Wire Transfer
19575,2912,14,202.52,2025-03-15 02:12:24.385677,Net Banking
19576,9564,12,136.68,2025-01-18 00:22:42.354561,Wire Transfer
19577,8103,10,244.0,2025-01-21 22:18:29.303436,Credit
19578,8546,8,1006.96,2025-01-14 00:18:42.189200,Wire Transfer
19579,3917,4,1162.6200000000001,2025-01-28 14:34:32.520247,Credit
19580,9704,27,101.04,2025-03-09 17:04:35.980449,Credit
19581,4066,13,2162.6,2025-02-24 10:38:33.264801,Net Banking
19582,5910,18,1069.28,2025-01-24 20:51:31.928271,Net Banking
19583,270,22,19.950000000000003,2025-02-09 11:57:17.735804,Wire Transfer
19584,349,23,12188.16,2025-03-07 13:14:31.764682,Debit
19585,5347,10,953.6,2025-01-02 07:44:55.357898,Credit
19586,4225,27,30.37,2025-01-24 14:02:24.175154,Net Banking
19587,1637,30,250.76,2025-01-09 02:30:25.929765,Net Banking
19588,4329,3,7949.22,2025-01-26 12:25:03.942586,Wire Transfer
19589,9921,3,5079.43,2025-03-02 09:12:22.736202,Debit
19590,3289,21,607.08,2025-02-02 16:27:18.440796,Debit
19591,5340,29,1260.54,2025-03-15 07:44:48.054871,Credit
19592,1718,7,28.13,2025-02-14 15:49:01.891628,Wire Transfer
19593,5076,22,14.6,2025-03-11 14:11:07.557595,Net Banking
19594,9434,27,24.41,2025-01-12 00:18:03.617461,Debit
19595,9664,28,1128.24,2025-01-26 20:19:05.979662,Debit
19596,3587,17,31.44,2025-02-22 02:43:49.663044,Wire Transfer
19597,4745,4,1182.0,2025-02-15 02:37:21.790729,Net Banking
19598,8475,18,532.18,2025-01-28 08:11:46.205279,Wire Transfer
19599,1215,8,902.88,2025-01-13 08:30:07.233732,Net Banking
19600,7655,5,304.12,2025-01-06 14:11:40.808644,Net Banking
19601,3120,10,454.4,2025-01-19 14:27:59.208481,Wire Transfer
19602,2072,16,669.88,2025-01-30 04:38:12.387210,Credit
19603,35,4,631.14,2025-01-06 06:35:54.800559,Credit
19604,6204,28,594.92,2025-01-04 04:59:37.562497,Debit
19605,1140,6,235.54,2025-03-10 20:07:47.520822,Wire Transfer
19606,5214,19,6497.4,2025-02-21 01:05:54.642404,Wire Transfer
19607,975,8,828.6,2025-01-13 00:34:07.038756,Wire Transfer
19608,3822,7,31.11,2025-03-23 14:23:03.005951,Debit
19609,1403,10,230.49,2025-01-25 22:41:47.472570,Net Banking
19610,8743,12,356.94,2025-02-06 21:28:09.045660,Debit
19611,7122,16,284.42,2025-03-17 06:26:58.150842,Debit
19612,3323,8,671.0999999999999,2025-01-23 05:57:24.730582,Wire Transfer
19613,3907,10,442.1,2025-02-02 08:29:57.372791,Net Banking
19614,6659,26,1288.3799999999999,2025-01-07 13:16:42.329479,Net Banking
19615,1595,12,165.87,2025-02-26 13:37:46.628643,Debit
19616,7998,10,806.68,2025-02-21 07:43:20.494198,Debit
19617,3651,4,444.52,2025-01-07 03:49:51.412818,Debit
19618,9753,8,854.44,2025-03-21 00:55:35.133990,Wire Transfer
19619,8334,27,115.48,2025-01-17 19:53:03.087692,Wire Transfer
19620,9031,23,13052.07,2025-01-07 21:39:13.190321,Net Banking
19621,3295,8,403.64,2025-02-25 04:34:54.040601,Debit
19622,9708,18,429.2,2025-03-14 04:40:49.894042,Net Banking
19623,956,20,763.23,2025-03-23 16:23:23.060910,Net Banking
19624,6838,4,1249.6200000000001,2025-02-01 15:55:41.659613,Credit
19625,2728,5,266.46,2025-01-17 14:44:49.789813,Wire Transfer
19626,4461,8,188.61,2025-01-03 03:10:31.996097,Wire Transfer
19627,7370,25,165.93,2025-03-21 03:34:20.312832,Wire Transfer
19628,8070,1,601.56,2025-01-30 23:04:37.875210,Debit
19629,9505,23,19831.24,2025-02-06 15:30:58.164405,Wire Transfer
19630,5472,6,339.39,2025-01-23 21:18:23.166346,Wire Transfer
19631,7081,18,240.54,2025-01-10 13:42:21.824554,Debit
19632,9420,8,865.96,2025-01-22 20:12:50.995699,Credit
19633,4901,30,162.99,2025-02-22 08:26:17.365446,Wire Transfer
19634,5103,3,12883.560000000001,2025-01-11 05:02:17.327922,Debit
19635,7044,29,4524.12,2025-02-15 04:37:37.403474,Wire Transfer
19636,5572,7,85.02,2025-03-16 01:44:56.077765,Credit
19637,9343,17,57.84,2025-02-17 00:14:20.442469,Wire Transfer
19638,3041,30,233.84,2025-01-25 04:53:43.346057,Credit
19639,1188,26,1215.9,2025-03-16 21:23:26.070980,Credit
19640,1879,30,65.61,2025-03-17 05:13:10.821885,Wire Transfer
19641,742,28,594.54,2025-01-02 16:24:12.496329,Credit
19642,5356,2,224.53,2025-02-12 21:29:38.649244,Net Banking
19643,3928,25,54.79,2025-03-21 09:45:42.235558,Net Banking
19644,4814,3,18233.8,2025-02-22 02:46:12.182657,Net Banking
19645,6679,25,177.87,2025-02-25 16:42:08.173937,Debit
19646,596,11,824.73,2025-01-05 19:02:43.651332,Net Banking
19647,2533,8,216.79,2025-01-25 10:21:26.029057,Debit
19648,6096,12,239.18,2025-01-24 02:14:20.867119,Wire Transfer
19649,2503,1,1398.0,2025-03-17 11:52:20.062620,Wire Transfer
19650,4582,7,95.94,2025-02-17 03:00:13.354490,Wire Transfer
19651,189,27,72.66,2025-01-28 07:11:58.012483,Debit
19652,8501,29,3213.04,2025-01-15 20:49:59.132260,Net Banking
19653,6641,23,14839.29,2025-02-11 02:42:47.230196,Debit
19654,3177,9,3567.2999999999997,2025-02-21 12:14:14.666557,Credit
19655,7171,14,185.78,2025-01-03 09:16:00.702983,Net Banking
19656,2661,22,27.56,2025-02-21 22:55:43.361310,Debit
19657,6190,5,206.34,2025-03-14 19:56:19.365308,Credit
19658,9355,17,29.62,2025-03-03 04:32:02.993994,Debit
19659,301,29,1277.01,2025-03-06 17:09:56.897401,Credit
19660,2617,9,5245.56,2025-01-14 10:04:59.535419,Credit
19661,715,5,63.12,2025-03-23 21:22:09.464799,Net Banking
19662,9494,28,333.65,2025-03-02 13:17:57.117106,Credit
19663,6975,6,182.7,2025-03-01 15:07:08.296908,Debit
19664,1380,8,699.42,2025-02-13 20:29:37.033643,Net Banking
19665,7004,22,6.3,2025-01-02 14:26:16.107910,Net Banking
19666,1862,23,4867.32,2025-03-03 07:41:12.067476,Net Banking
19667,5088,4,1216.8899999999999,2025-02-28 00:50:11.796162,Wire Transfer
19668,8535,30,48.16,2025-02-19 13:59:34.709229,Debit
19669,3725,7,88.74,2025-01-10 03:42:30.690755,Debit
19670,1468,10,934.84,2025-03-13 01:52:29.343408,Net Banking
19671,4167,17,60.92,2025-02-27 15:37:41.112715,Credit
19672,3551,12,509.0,2025-01-31 02:22:51.454435,Debit
19673,179,17,45.3,2025-03-22 03:59:46.514995,Debit
19674,3313,26,2160.92,2025-03-08 11:31:00.778515,Net Banking
19675,7748,17,46.019999999999996,2025-01-08 09:45:43.964998,Wire Transfer
19676,7969,20,743.46,2025-02-03 07:44:36.245530,Wire Transfer
19677,3807,16,195.05,2025-03-02 07:29:54.852378,Wire Transfer
19678,3327,17,14.92,2025-02-23 01:41:57.558750,Net Banking
19679,1287,3,21396.84,2025-03-19 03:45:29.647111,Net Banking
19680,7237,8,1028.44,2025-02-16 13:28:11.512292,Net Banking
19681,2334,5,361.92,2025-01-25 02:29:55.900218,Credit
19682,9802,15,193.14,2025-03-06 19:43:35.702222,Credit
19683,2747,23,4899.01,2025-03-20 04:09:07.912779,Debit
19684,8909,19,6157.64,2025-01-30 04:14:33.682806,Credit
19685,5495,14,351.04,2025-01-11 23:38:14.891641,Credit
19686,6987,16,163.15,2025-01-24 18:38:51.723535,Credit
19687,2341,11,225.39,2025-03-09 13:38:38.718090,Credit
19688,1077,23,14562.900000000001,2025-01-29 15:09:06.677841,Debit
19689,1424,3,8112.7,2025-01-27 01:04:33.473601,Wire Transfer
19690,1409,6,266.76,2025-01-19 02:02:58.810792,Wire Transfer
19691,9119,13,1398.09,2025-03-03 15:26:00.672825,Net Banking
19692,4275,24,116.52,2025-01-26 04:22:06.414888,Credit
19693,4474,8,733.8,2025-02-19 00:38:39.765475,Credit
19694,9335,30,172.74,2025-02-08 07:41:47.513662,Net Banking
19695,7110,15,65.44,2025-03-12 05:04:55.761681,Debit
19696,5640,9,3032.76,2025-01-05 02:06:09.032214,Net Banking
19697,4581,9,3843.1499999999996,2025-01-28 10:36:52.115907,Debit
19698,486,6,359.90999999999997,2025-02-09 09:16:19.324768,Wire Transfer
19699,237,19,4420.68,2025-01-07 01:10:58.494141,Debit
19700,10000,4,1285.28,2025-01-07 13:02:03.000462,Net Banking
19701,4432,5,147.1,2025-02-28 08:19:48.993095,Net Banking
19702,1313,9,2407.04,2025-02-19 02:41:17.991712,Debit
19703,9761,19,3864.0,2025-02-14 19:06:49.509480,Debit
19704,4242,10,464.02,2025-01-27 00:47:35.257398,Net Banking
19705,3590,27,77.13,2025-02-25 19:08:01.541454,Net Banking
19706,2120,30,177.42000000000002,2025-02-17 12:40:55.139279,Debit
19707,4218,4,878.66,2025-01-17 10:11:19.695402,Debit
19708,3273,2,247.59,2025-02-16 02:51:13.369308,Credit
19709,8322,20,638.46,2025-02-07 11:28:40.833836,Credit
19710,502,15,49.41,2025-01-04 06:47:15.361734,Wire Transfer
19711,8903,26,1562.24,2025-01-20 10:22:12.451809,Debit
19712,2997,26,852.32,2025-01-04 19:40:52.786500,Debit
19713,2484,16,609.9000000000001,2025-03-01 11:22:29.141985,Net Banking
19714,4965,18,1103.12,2025-02-28 04:44:57.953035,Credit
19715,7202,6,83.93,2025-01-08 09:23:45.687071,Debit
19716,5727,15,190.28,2025-01-13 16:15:04.435947,Net Banking
19717,2987,23,4682.71,2025-03-15 17:40:58.532242,Wire Transfer
19718,8306,12,392.93999999999994,2025-03-23 05:30:55.563689,Credit
19719,4185,10,819.9000000000001,2025-01-01 08:13:09.187739,Debit
19720,9639,22,15.74,2025-03-04 05:27:38.233682,Credit
19721,1493,23,9969.18,2025-01-02 11:24:22.470238,Wire Transfer
19722,2723,4,317.5,2025-01-12 02:12:52.296235,Credit
19723,2961,26,1040.98,2025-02-09 13:12:21.765265,Credit
19724,7925,21,592.76,2025-03-04 14:08:57.688362,Wire Transfer
19725,8841,17,32.62,2025-02-08 20:13:06.107379,Credit
19726,1319,14,260.88,2025-02-08 10:51:47.935215,Debit
19727,703,30,111.74,2025-01-28 07:48:59.918304,Net Banking
19728,8573,16,340.5,2025-01-03 16:18:25.705247,Debit
19729,8072,14,251.28,2025-01-25 22:31:34.618844,Credit
19730,2151,2,862.4,2025-01-18 06:07:35.397836,Credit
19731,9353,2,815.79,2025-01-12 11:51:34.195735,Debit
19732,2796,15,251.36,2025-03-23 08:17:32.506964,Debit
19733,2930,26,1893.52,2025-02-01 01:26:18.945270,Debit
19734,2470,30,276.08,2025-01-26 10:20:35.651893,Debit
19735,2556,1,1418.07,2025-01-26 12:54:30.458047,Credit
19736,5498,14,427.32,2025-03-14 11:25:11.314059,Net Banking
19737,6580,26,1069.76,2025-01-07 04:14:39.375568,Net Banking
19738,6760,30,254.12,2025-02-01 14:19:08.951407,Debit
19739,7570,17,20.47,2025-03-24 13:55:52.686514,Wire Transfer
19740,3446,13,2033.72,2025-02-06 23:38:17.229965,Wire Transfer
19741,267,11,1149.76,2025-03-21 11:36:25.153984,Debit
19742,6496,4,1599.04,2025-03-15 23:31:47.966003,Debit
19743,5038,25,124.26,2025-03-01 14:54:16.590792,Net Banking
19744,3303,11,448.74,2025-01-17 12:11:03.794984,Wire Transfer
19745,4764,28,353.68,2025-02-06 12:14:26.408534,Wire Transfer
19746,9089,18,403.7,2025-02-04 04:10:24.125104,Debit
19747,7518,9,2244.16,2025-02-13 01:30:07.500353,Net Banking
19748,9442,8,251.67,2025-01-11 04:22:54.727435,Credit
19749,5106,1,627.46,2025-03-05 21:48:12.798136,Credit
19750,5370,25,260.24,2025-03-10 01:23:56.849149,Credit
19751,7599,21,437.48,2025-01-14 19:07:51.646069,Debit
19752,5776,2,228.9,2025-01-08 14:21:25.250654,Net Banking
19753,1955,10,588.32,2025-03-06 03:52:39.534128,Debit
19754,7498,19,1901.04,2025-03-10 11:59:39.836879,Debit
19755,340,11,563.5,2025-03-19 15:14:41.028596,Net Banking
19756,4893,6,344.01,2025-03-07 19:52:56.056889,Net Banking
19757,7435,22,7.08,2025-01-20 02:10:33.937857,Debit
19758,4511,18,583.66,2025-03-21 15:04:54.679257,Wire Transfer
19759,5166,18,685.83,2025-01-26 10:11:52.591352,Credit
19760,7735,18,288.0,2025-03-01 08:36:13.690727,Debit
19761,9237,29,4831.62,2025-01-29 23:21:40.884392,Net Banking
19762,3866,3,7839.62,2025-02-04 12:01:11.353390,Net Banking
19763,7454,22,7.87,2025-03-15 09:34:40.202164,Wire Transfer
19764,9076,21,136.05,2025-03-08 17:37:10.785799,Net Banking
19765,9062,9,5903.56,2025-03-09 08:16:08.116062,Credit
19766,7914,26,466.57,2025-01-08 17:59:11.313706,Credit
19767,3406,17,45.81,2025-02-16 08:30:32.926326,Wire Transfer
19768,9426,4,1107.6,2025-03-08 22:47:11.257715,Net Banking
19769,440,28,259.3,2025-02-13 09:47:42.253446,Wire Transfer
19770,9195,14,494.84,2025-01-27 11:04:09.722816,Credit
19771,5732,19,1761.11,2025-02-02 20:32:43.923481,Net Banking
19772,895,22,14.02,2025-01-28 08:41:09.553994,Wire Transfer
19773,722,23,17390.32,2025-01-31 04:37:08.160402,Credit
19774,7404,23,11087.7,2025-03-08 18:02:16.341442,Net Banking
19775,9611,27,31.41,2025-01-26 23:47:59.922749,Debit
19776,4872,13,539.86,2025-01-09 17:52:02.070150,Credit
19777,6523,7,121.88,2025-02-09 01:10:49.535561,Credit
19778,3879,4,846.14,2025-01-26 23:22:05.397714,Credit
19779,2833,20,1080.2,2025-01-26 13:29:21.625777,Wire Transfer
19780,8654,15,183.18,2025-01-15 16:10:24.151500,Net Banking
19781,2035,8,229.15,2025-02-03 22:22:21.578375,Net Banking
19782,1869,11,969.2,2025-03-01 23:44:43.022000,Debit
19783,9317,14,182.18,2025-02-11 05:09:17.236396,Credit
19784,7113,15,49.3,2025-02-21 16:23:00.844583,Wire Transfer
19785,8859,25,217.84,2025-01-02 19:36:38.956288,Debit
19786,1126,1,886.68,2025-02-18 13:50:57.454443,Credit
19787,321,5,160.46,2025-01-11 05:36:00.326123,Credit
19788,9283,6,427.8,2025-02-08 23:25:50.418637,Net Banking
19789,1613,20,279.71,2025-01-07 23:39:17.023382,Net Banking
19790,5598,16,622.4,2025-02-09 14:45:49.414927,Credit
19791,9173,10,536.96,2025-01-10 10:59:58.197785,Net Banking
19792,6222,19,1582.99,2025-02-02 02:06:03.479095,Wire Transfer
19793,6253,5,67.54,2025-02-27 21:39:57.811128,Credit
19794,8442,1,445.96,2025-01-23 02:33:03.462228,Net Banking
19795,266,14,181.2,2025-01-14 06:52:48.609392,Net Banking
19796,1523,10,819.81,2025-01-19 23:55:56.623225,Credit
19797,880,19,7905.16,2025-02-12 05:15:48.825552,Net Banking
19798,2713,6,259.46999999999997,2025-02-01 09:04:01.348465,Credit
19799,1386,25,209.4,2025-02-13 10:05:03.089468,Credit
19800,3685,24,81.97,2025-02-27 08:49:59.442379,Net Banking
19801,9657,30,122.78,2025-02-04 11:00:23.811809,Net Banking
19802,9039,5,291.16,2025-03-23 00:14:22.688848,Wire Transfer
19803,5058,2,438.16,2025-01-18 05:12:36.685536,Credit
19804,3261,30,188.31,2025-01-27 07:58:29.395508,Credit
19805,8316,10,429.46,2025-03-14 00:03:00.463770,Net Banking
19806,3320,8,930.96,2025-01-31 16:35:11.011038,Net Banking
19807,7387,30,135.72,2025-02-10 04:42:18.320616,Net Banking
19808,8154,6,238.14,2025-01-22 04:27:31.507086,Credit
19809,6051,1,1502.67,2025-01-25 19:21:55.005902,Wire Transfer
19810,7534,10,818.04,2025-03-15 18:43:32.665154,Wire Transfer
19811,39,12,332.0,2025-03-18 23:18:37.193791,Net Banking
19812,2251,1,2468.6,2025-03-21 23:16:37.139612,Wire Transfer
19813,7235,26,490.39,2025-03-10 06:30:18.524144,Credit
19814,5993,21,467.64,2025-03-23 05:21:09.636372,Net Banking
19815,3786,11,942.06,2025-02-08 22:38:17.625271,Credit
19816,651,29,1662.73,2025-03-19 15:26:17.104410,Net Banking
19817,1443,9,3218.0,2025-03-20 22:21:10.371797,Wire Transfer
19818,3418,14,352.59000000000003,2025-02-23 02:50:11.748439,Wire Transfer
19819,7992,22,27.76,2025-03-21 23:12:08.808810,Net Banking
19820,5638,25,252.12,2025-02-17 23:25:42.597469,Debit
19821,848,17,31.04,2025-03-02 08:46:25.208056,Wire Transfer
19822,6545,9,3922.74,2025-01-24 23:41:09.208028,Credit
19823,1768,7,121.44,2025-02-17 03:59:04.594625,Wire Transfer
19824,7557,14,116.36,2025-03-16 00:15:56.472543,Net Banking
19825,4955,19,1655.63,2025-01-08 07:35:01.998663,Wire Transfer
19826,9964,19,1432.08,2025-03-14 23:36:01.666887,Net Banking
19827,9025,8,249.09,2025-01-07 19:54:10.071832,Credit
19828,9674,4,980.79,2025-01-23 05:55:35.189143,Net Banking
19829,1478,15,69.59,2025-01-22 15:53:13.698724,Debit
19830,9830,3,17850.04,2025-02-22 01:11:20.884914,Net Banking
19831,2566,1,2075.08,2025-02-18 12:22:12.031890,Wire Transfer
19832,2409,21,295.04,2025-03-12 11:59:17.545862,Wire Transfer
19833,940,8,860.96,2025-03-05 17:03:19.138766,Credit
19834,6647,26,408.9,2025-03-15 22:56:16.592137,Wire Transfer
19835,5054,10,837.2,2025-03-02 18:02:13.319337,Net Banking
19836,2204,2,444.7,2025-01-15 12:44:08.591150,Debit
19837,955,13,1558.02,2025-03-07 17:28:25.647559,Credit
19838,5070,21,414.0,2025-02-14 17:17:36.843173,Net Banking
19839,4289,14,380.37,2025-03-12 09:44:54.253396,Wire Transfer
19840,6250,2,884.01,2025-02-21 01:05:55.787927,Credit
19841,7012,19,3311.42,2025-01-18 05:49:46.641985,Debit
19842,4010,3,10927.94,2025-01-26 07:26:35.535341,Wire Transfer
19843,4936,2,722.61,2025-02-06 17:18:20.392506,Wire Transfer
19844,5163,14,276.03000000000003,2025-01-24 22:53:58.312535,Wire Transfer
19845,6281,9,3773.2200000000003,2025-02-24 14:49:57.360152,Debit
19846,5537,7,60.8,2025-01-23 16:01:11.958015,Debit
19847,5745,7,74.01,2025-03-21 16:51:22.712570,Debit
19848,8518,14,460.84,2025-02-07 19:49:08.806836,Debit
19849,6995,23,17295.64,2025-03-10 22:30:32.246833,Wire Transfer
19850,2167,23,12708.48,2025-02-09 16:00:21.797800,Credit
19851,8798,7,23.7,2025-02-12 14:13:52.813872,Credit
19852,2504,14,117.05,2025-01-16 12:33:24.297804,Wire Transfer
19853,7472,20,1067.52,2025-02-23 15:51:30.047845,Net Banking
19854,4866,3,22606.32,2025-03-12 01:17:33.022243,Debit
19855,3824,23,4658.46,2025-03-04 12:08:46.426901,Net Banking
19856,8422,21,294.14,2025-03-03 10:56:23.292207,Credit
19857,1918,22,7.92,2025-03-04 18:02:31.428946,Debit
19858,9053,3,10008.92,2025-01-09 09:43:53.485448,Debit
19859,7763,19,1635.59,2025-01-11 05:12:14.666883,Credit
19860,3759,17,67.64,2025-01-13 13:35:58.909494,Net Banking
19861,6276,21,298.78,2025-01-22 09:02:53.624066,Credit
19862,5949,1,1611.5099999999998,2025-02-05 17:31:27.731355,Net Banking
19863,4000,13,502.36,2025-01-08 03:39:29.320038,Wire Transfer
19864,9213,24,135.72,2025-01-20 02:23:02.724170,Wire Transfer
19865,2214,18,495.36,2025-01-28 15:52:29.876637,Credit
19866,8702,30,201.89999999999998,2025-02-19 23:26:30.547389,Net Banking
19867,6367,27,27.48,2025-03-08 01:22:38.847467,Credit
19868,3744,3,18999.0,2025-03-19 17:47:44.723255,Wire Transfer
19869,2188,20,260.4,2025-01-05 12:15:18.315930,Credit
19870,8878,23,4345.54,2025-03-11 14:44:21.067876,Credit
19871,6045,2,487.86,2025-01-08 19:05:31.636053,Net Banking
19872,7455,1,615.74,2025-02-24 20:08:17.745954,Credit
19873,1077,29,1809.41,2025-03-13 19:27:56.396787,Wire Transfer
19874,9090,6,111.81,2025-01-23 00:38:42.573203,Credit
19875,6683,21,627.32,2025-01-13 09:47:01.486250,Debit
19876,2587,5,232.56,2025-03-05 16:51:00.025299,Credit
19877,466,9,1178.04,2025-01-03 18:07:28.940088,Wire Transfer
19878,1154,11,935.96,2025-01-14 21:11:04.665235,Credit
19879,6554,2,228.02,2025-03-11 13:28:54.725873,Wire Transfer
19880,5088,23,5212.15,2025-02-06 18:48:43.649217,Net Banking
19881,944,1,2622.2,2025-01-03 14:47:03.271539,Debit
19882,8568,8,357.66,2025-02-14 17:09:28.662274,Net Banking
19883,8724,26,1563.88,2025-02-15 09:53:47.428125,Debit
19884,1442,14,354.87,2025-02-06 02:02:26.317834,Credit
19885,4798,14,314.52,2025-03-20 21:47:57.380779,Wire Transfer
19886,3636,21,156.19,2025-03-04 07:28:42.471608,Debit
19887,2070,23,18403.68,2025-01-30 11:22:40.696515,Credit
19888,8847,4,420.86,2025-03-23 13:00:25.218193,Wire Transfer
19889,1529,1,545.49,2025-02-02 21:06:37.940644,Wire Transfer
